,discharge (m^3/s),water_depth (m),soil_moisture (%),precipitation (mm/hr)
2017-08-26 11:00:00,7.71117430446e-05,1e-05,54.3103218079,5.12544298172
2017-08-26 12:00:00,0.11268769189,0.0168517784588,60.6099128723,42.6758537292
2017-08-26 13:00:00,0.000392882082307,0.0184012098509,73.5159072876,27.8217773438
2017-08-26 14:00:00,0.076300126914,0.0879516363472,84.4577331543,26.5527591705
2017-08-26 15:00:00,0.435322198297,0.0822533033098,86.5765228271,5.44576501846
2017-08-26 16:00:00,0.177252581027,0.0811716367625,87.2536392212,13.9486675262
2017-08-26 17:00:00,0.35790052499,0.0719399700824,87.5175247192,4.27920293808
2017-08-26 18:00:00,0.265231604026,0.0626583034365,87.7932052612,1.70648145676
2017-08-26 19:00:00,0.184790490257,0.0518766368114,87.3954086304,0.261692434549
2017-08-26 20:00:00,0.0145257748397,0.0397116368111,86.704750061,0.895706892014
2017-08-26 21:00:00,0.0805597102988,0.0297466367881,85.7370147705,1.76384544373
2017-08-26 22:00:00,0.0387558369283,0.0174316367881,85.4176483154,1.196860075
2017-08-26 23:00:00,0.0140151625295,0.00751663678202,84.5690307617,2.01743340492
2017-08-27 00:00:00,0.00138191433542,1e-05,83.5829772949,0.534202873707
2017-08-27 01:00:00,2.38391677986e-05,1e-05,82.7231826782,2.61158442497
2017-08-27 02:00:00,3.07548073908e-10,1e-05,82.2246398926,14.9545698166
2017-08-27 03:00:00,8.36142595884e-10,5.7016658549e-05,84.7068710327,22.5902290344
2017-08-27 04:00:00,0.0993415545566,0.0762001701868,89.4365081787,31.4212398529
2017-08-27 05:00:00,1.49084893254,0.120335171835,91.0148239136,12.8143692017
2017-08-27 06:00:00,2.18060546745,0.141903506543,91.6743392944,30.0297298431
2017-08-27 07:00:00,2.08009410786,0.168071840081,92.2994918823,24.3325405121
2017-08-27 08:00:00,1.72317590315,0.170273506307,92.7059631348,6.51691484451
2017-08-27 09:00:00,1.99893024977,0.182041838798,92.9251251221,13.3929004669
2017-08-27 10:00:00,2.69432142227,0.203026838612,93.1712722778,23.3691291809
2017-08-27 11:00:00,2.25490531644,0.196995171992,93.3866119385,28.6341629028
2017-08-27 12:00:00,2.55934248823,0.231446838026,93.5851287842,38.0444602966
2017-08-27 13:00:00,2.33122051628,0.234798504616,93.7411651611,14.7681980133
2017-08-27 14:00:00,1.99229258356,0.239900172037,93.8229064941,4.58151006699
2017-08-27 15:00:00,1.72001447667,0.238435172206,93.8673782349,21.2545108795
2017-08-27 16:00:00,1.6522302711,0.24577017242,93.9358444214,21.0890541077
2017-08-27 17:00:00,1.44101664571,0.241888505462,93.9800872803,24.7773246765
2017-08-27 18:00:00,2.90977337466,0.26412350506,94.0249862671,14.7035198212
2017-08-27 19:00:00,4.83967960171,0.31945850563,94.0715408325,20.0841064453
2017-08-27 20:00:00,6.93660781814,0.34009350414,94.1128997803,24.5070533752
2017-08-27 21:00:00,12.2137332678,0.382911839332,94.1422958374,12.4126014709
2017-08-27 22:00:00,15.8127137465,0.375130172725,94.1615371704,10.6071043015
2017-08-27 23:00:00,20.9590678408,0.368898506071,94.1752853394,5.79941892624
2017-08-28 00:00:00,26.8862365838,0.403433505109,94.184928894,4.35953617096
2017-08-28 01:00:00,29.6556510323,0.399018505076,94.1914749146,7.40709686279
2017-08-28 02:00:00,31.7051020672,0.387986838426,94.1955413818,15.6251392365
2017-08-28 03:00:00,34.2117782121,0.382755171932,94.2045135498,24.9292850494
2017-08-28 04:00:00,37.0935079592,0.379990172121,94.2130508423,41.5912399292
2017-08-28 05:00:00,46.933049389,0.42397517226,94.223815918,16.475151062
2017-08-28 06:00:00,53.6116699429,0.419710172214,94.2309112549,19.663860321
2017-08-28 07:00:00,60.1572721813,0.408478505547,94.2337188721,0.0355201289058
2017-08-28 08:00:00,66.1222815922,0.397680172224,94.2340316772,1.66332197189
2017-08-28 09:00:00,70.1301201558,0.386448505557,94.2267303467,0.467355877161
2017-08-28 10:00:00,72.1304215531,0.375500172235,94.2122650146,0.0686924308538
2017-08-28 11:00:00,72.3196881034,0.364268505568,94.1874237061,0.105185188353
2017-08-28 12:00:00,71.2173628102,0.353320172239,94.1397476196,0.349977523088
2017-08-28 13:00:00,69.9067384275,0.348971838612,94.1073074341,8.4584608078
2017-08-28 14:00:00,67.8400268552,0.339606838572,94.127456665,3.87434768677
2017-08-28 15:00:00,66.0037859396,0.330741838667,94.1064834595,3.75558757782
2017-08-28 16:00:00,64.9187830784,0.330493505141,94.1287002563,8.42776012421
2017-08-28 17:00:00,63.2820311401,0.324245171902,94.1568374634,3.61903381348
2017-08-28 18:00:00,61.2826610263,0.316830171704,94.1631851196,4.63613700867
2017-08-28 19:00:00,59.1608251701,0.311615171483,94.1473236084,2.73914027214
2017-08-28 20:00:00,57.5175685159,0.311616838109,94.1595840454,10.0476779938
2017-08-28 21:00:00,56.3794666909,0.31311850497,94.1936950684,15.7170324326
2017-08-28 22:00:00,55.5042054544,0.314103504785,94.2213287354,16.8842792511
2017-08-28 23:00:00,53.6931102906,0.305188504796,94.2310714722,5.4331445694
2017-08-29 00:00:00,51.7486100617,0.301906837898,94.2364273071,9.33915138245
2017-08-29 01:00:00,49.3380078116,0.298058504551,94.2396011353,6.42379379272
2017-08-29 02:00:00,47.2272942302,0.294926837738,94.2420043945,7.93560552597
2017-08-29 03:00:00,45.3553221181,0.293761837711,94.2435836792,2.46666145325
2017-08-29 04:00:00,43.0848319239,0.289113504673,94.2372436523,3.87849116325
2017-08-29 05:00:00,40.7885849022,0.286231838252,94.2319641113,9.00029468536
2017-08-29 06:00:00,38.5190064167,0.280733504875,94.2360687256,6.89247226715
2017-08-29 07:00:00,36.9640057968,0.285668504901,94.2400817871,12.0815505981
2017-08-29 08:00:00,35.0472209086,0.280353504971,94.2443161011,9.31710720062
2017-08-29 09:00:00,33.3764578925,0.279755171666,94.2416915894,8.63652610779
2017-08-29 10:00:00,32.3436930681,0.282623505043,94.2393493652,6.49905061722
2017-08-29 11:00:00,30.8838983297,0.280591838125,94.2254180908,4.97954559326
2017-08-29 12:00:00,28.7555192115,0.271410171486,94.0898132324,2.75397062302
2017-08-29 13:00:00,26.4805479249,0.262511838208,93.8107070923,1.57097411156
2017-08-29 14:00:00,24.6523679303,0.25801350497,93.563041687,1.46931087971
2017-08-29 15:00:00,22.4593976191,0.250915171653,93.2466964722,2.66749739647
2017-08-29 16:00:00,20.2736872559,0.241333504981,92.9778518677,2.140188694
2017-08-29 17:00:00,18.0726739437,0.230851838303,92.8636779785,4.4106554985
2017-08-29 18:00:00,16.0067548585,0.220336838306,92.6207427979,0.862935602665
2017-08-29 19:00:00,14.0630399627,0.209471838335,92.1359939575,0.353357493877
2017-08-29 20:00:00,12.2635752225,0.198773505044,91.6506729126,0.958476543427
2017-08-29 21:00:00,10.6323263648,0.188225171702,91.2643127441,1.89871013165
2017-08-29 22:00:00,9.19335941745,0.178310171703,90.7632217407,0.763558804989
2017-08-29 23:00:00,7.88011283691,0.166861838372,90.0882492065,0.340127259493
2017-08-30 00:00:00,6.75106355679,0.156146838384,89.2210464478,0.0529629588127
